puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,claims_received_total_reported,claims_denied_total_reported,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned,claims_received_in_network,claims_received_out_of_network,claims_denied_in_network,claims_denied_out_of_network,claims_received_total,claims_denied_total,denial_rate_total,denial_rate_in_network,internal_appeal_rate,internal_reversal_rate,external_reversal_rate,claims_resubmitted_in_network,claims_resubmitted_out_of_network,plan_count,product_count,network_count,service_area_count,new_plan_count,market_merge,median_age40_premium,mean_age40_premium,minimum_age40_premium,rated_plans,rating_areas,premium_merge
2017,2015,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,192232.0,12958.0,128.0,51.0,,,,,,,192232.0,12958.0,0.0674081318406925,,0.0098780676030251,0.3984375,,,,18.0,5.0,1.0,1.0,0.0,both,589.5,593.2222222222222,465.0,18.0,3.0,both
2017,2015,True,AL,46944,Blue Cross and Blue Shield of Alabama,5527156.0,1006909.0,482.0,125.0,58.0,27.0,,,,,5527156.0,1006909.0,0.182174883430104,,0.0004786927120524,0.2593360995850622,0.4655172413793103,,,8.0,8.0,1.0,1.0,1.0,both,269.115,281.8039423076923,169.72,8.0,13.0,both
2017,2015,True,AR,37903,"QualChoice Life & Health Insurance Company, Inc.",141528.0,80440.0,11.0,,,,,,,,141528.0,80440.0,0.5683680967723701,,0.0001367478866235,,,,,14.0,1.0,1.0,7.0,14.0,both,391.19,387.2342857142857,335.13,14.0,7.0,both
2017,2015,True,AR,62141,Celtic Insurance Company,1289389.0,178994.0,55.0,19.0,,,,,,,1289389.0,178994.0,0.1388207903123107,,0.0003072728694816,0.3454545454545454,,,,18.0,3.0,1.0,1.0,0.0,both,304.11,302.4755555555556,209.8,18.0,7.0,both
2017,2015,True,AR,70525,"QCA Health Plan, Inc.",264711.0,62924.0,44.0,11.0,10.0,,,,,,264711.0,62924.0,0.2377082931952204,,0.0006992562456296,0.25,,,,28.0,1.0,1.0,7.0,9.0,both,317.625,303.2325,143.5,28.0,7.0,both
2017,2015,True,AR,75293,USAble Mutual Insurance Company,4711988.0,738990.0,1331.0,512.0,15.0,,,,,,4711988.0,738990.0,0.1568318934598305,,0.0018011069161964,0.3846731780616078,,,,12.0,12.0,2.0,2.0,1.0,both,277.92499999999995,279.56142857142856,202.58,12.0,7.0,both
2017,2015,True,AZ,53901,"Blue Cross and Blue Shield of Arizona, Inc.",1289730.0,134627.0,561.0,150.0,44.0,,,,,,1289730.0,134627.0,0.1043838632892155,,0.0041670690129023,0.267379679144385,,,,56.0,20.0,4.0,3.0,43.0,both,282.15,285.3381632653061,129.59,56.0,7.0,both
2017,2015,True,AZ,91450,"Health Net of Arizona, Inc.",704480.0,24157.0,226.0,183.0,47.0,,,,,,704480.0,24157.0,0.0342905405405405,,0.0093554663244608,0.8097345132743363,,,,10.0,1.0,1.0,1.0,6.0,both,219.68,213.103,126.59,10.0,3.0,both
2017,2015,True,DE,29497,Aetna Life Insurance Company,35609.0,4577.0,12.0,,,,,,,,35609.0,4577.0,0.1285349209469516,,0.0026218046755516,,,,,5.0,1.0,1.0,1.0,5.0,both,336.95,319.594,250.17,5.0,1.0,both
2017,2015,True,DE,67190,Aetna Health Inc. (a PA corp.),29001.0,4057.0,12.0,,,,,,,,29001.0,4057.0,0.1398917278714527,,0.0029578506285432,,,,,5.0,1.0,1.0,1.0,5.0,both,326.9,310.056,242.7,5.0,1.0,both
