market_year,state,issuer_id,issuer_name,plan_count,product_count,network_count,service_area_count,new_plan_count
2015,AK,38344,,18,5,1,1,0
2015,AK,73836,,12,5,2,1,12
2015,AL,44580,,10,1,2,2,0
2015,AL,46944,,8,8,1,1,1
2015,AL,68259,,11,1,1,1,11
2015,AR,37903,,14,1,1,7,14
2015,AR,62141,,18,3,1,1,0
2015,AR,70525,,28,1,1,7,9
2015,AR,75293,,12,12,2,2,1
2015,AZ,23307,,10,1,2,2,0
2015,AZ,51485,,16,1,1,1,0
2015,AZ,53901,,56,20,4,3,43
2015,AZ,60761,,24,24,6,5,21
2015,AZ,65441,,4,1,1,1,4
2015,AZ,70239,,35,1,2,8,12
2015,AZ,80863,,18,1,1,3,18
2015,AZ,84251,,6,1,1,1,1
2015,AZ,86830,,8,1,1,1,0
2015,AZ,88925,,3,1,1,1,3
2015,AZ,91450,,10,1,1,1,6
2015,AZ,92045,,6,6,1,1,6
2015,AZ,98971,,10,1,1,1,10
2015,DE,29497,,5,1,1,1,5
2015,DE,67190,,5,1,1,1,5
2015,DE,76168,,15,5,2,2,2
2015,FL,16842,,18,2,2,2,2
2015,FL,18628,,6,1,1,1,6
2015,FL,27357,,54,2,1,1,54
2015,FL,30252,,8,1,1,1,1
2015,FL,35783,,35,2,4,6,0
2015,FL,48121,,9,1,1,1,1
2015,FL,51398,,4,1,2,1,0
2015,FL,54172,,3,1,1,1,0
2015,FL,56503,,40,20,1,1,20
2015,FL,57451,,5,1,1,1,1
2015,FL,62662,,36,1,1,6,36
2015,FL,68398,,8,1,1,1,8
2015,FL,77150,,14,1,1,1,14
2015,FL,86382,,33,3,1,1,12
2015,GA,20544,,48,1,1,8,48
2015,GA,43802,,10,1,1,1,10
2015,GA,45495,,33,3,1,1,12
2015,GA,47783,,40,1,8,8,40
2015,GA,49046,,13,2,2,2,0
2015,GA,50491,,6,1,1,1,6
2015,GA,83761,,20,1,1,1,0
2015,GA,89942,,10,1,1,1,1
2015,GA,93332,,27,2,5,5,10
2015,IA,18973,,56,8,12,12,35
2015,IA,27651,,16,2,1,1,0
2015,IA,74980,,15,1,1,1,5
2015,IL,16724,,10,1,1,1,10
2015,IL,20129,,19,5,1,1,19
2015,IL,35670,,15,2,4,4,7
2015,IL,36096,,65,4,4,13,5
2015,IL,58288,,18,1,3,3,0
2015,IL,67807,,30,1,1,5,30
2015,IL,68303,,6,1,1,1,0
2015,IL,68432,,66,6,2,2,66
2015,IL,79763,,29,11,11,6,29
2015,IL,96601,,30,5,6,6,10
2015,IN,17575,,12,3,2,2,0
2015,IN,33380,,7,1,1,1,7
2015,IN,35065,,33,3,1,1,12
2015,IN,36373,,7,1,1,1,7
2015,IN,50816,,8,1,1,1,2
2015,IN,54192,,12,2,2,2,12
2015,IN,62033,,5,1,1,1,5
2015,IN,67920,,5,1,1,1,5
2015,IN,91842,,48,1,1,8,48
2015,KS,18558,,19,2,4,2,0
2015,KS,27811,,3,1,1,1,3
2015,KS,61430,,12,2,2,2,2
2015,KS,65598,,12,2,2,2,1
2015,KS,94248,,18,7,4,1,9
2015,LA,19636,,19,3,3,3,2
2015,LA,38499,,11,1,1,1,11
2015,LA,44965,,12,2,2,2,0
2015,LA,67202,,10,2,1,1,5
2015,LA,67243,,8,1,2,2,0
2015,LA,97176,,19,3,2,2,0
2015,ME,33653,,10,10,1,1,3
2015,ME,48396,,39,4,4,6,0
2015,ME,96667,,4,4,1,1,4
2015,MI,15560,,17,7,2,2,11
2015,MI,20393,,5,1,1,1,1
2015,MI,29241,,9,1,1,1,0
2015,MI,29698,,33,2,1,3,23
2015,MI,34620,,3,3,1,1,3
2015,MI,37651,,24,3,3,3,21
2015,MI,40047,,3,1,1,1,0
2015,MI,41895,,15,2,3,3,9
2015,MI,46275,,10,1,2,2,0
2015,MI,58594,,4,1,1,1,0
2015,MI,60829,,9,3,2,2,9
2015,MI,67183,,2,1,1,1,0
2015,MI,67577,,7,1,1,1,2
2015,MI,71667,,10,1,1,1,10
2015,MI,89029,,30,1,1,5,30
2015,MI,98185,,24,3,4,5,14
2015,MO,16049,,7,1,1,1,7
2015,MO,30613,,15,1,2,3,15
2015,MO,32753,,13,2,2,2,0
2015,MO,34762,,18,7,4,2,9
2015,MO,44240,,12,1,2,2,2
2015,MO,44527,,15,2,4,4,7
2015,MO,74483,,8,1,1,1,8
2015,MS,48963,,21,2,4,5,6
2015,MS,94237,,24,3,1,1,6
2015,MS,97560,,11,1,1,1,11
2015,MT,23603,,13,3,2,1,4
2015,MT,24867,,12,1,1,2,12
2015,MT,30751,,12,2,2,2,0
2015,MT,32225,,12,3,2,2,4
2015,NC,11512,,50,5,4,7,10
2015,NC,54332,,10,1,1,1,10
2015,NC,56346,,30,2,9,9,30
2015,ND,37160,,17,1,1,1,2
2015,ND,73751,,8,1,1,1,1
2015,ND,89364,,9,1,2,2,5
2015,NE,15438,,30,5,6,6,14
2015,NE,19524,,18,1,1,3,18
2015,NE,29678,,16,11,2,3,0
2015,NH,19304,,10,10,1,1,10
2015,NH,42260,,6,1,1,1,6
2015,NH,59025,,8,4,2,2,8
2015,NH,61163,,8,8,1,1,8
2015,NH,96751,,10,2,2,2,0
2015,NJ,10191,,21,7,1,3,12
2015,NJ,48834,,6,1,1,1,6
2015,NJ,50221,,5,5,1,1,5
2015,NJ,77606,,2,1,1,1,0
2015,NJ,91661,,9,3,3,1,4
2015,NJ,91762,,16,2,3,4,3
2015,NM,19722,,3,1,1,1,0
2015,NM,57173,,13,5,1,1,2
2015,NM,72034,,11,11,1,2,11
2015,NM,75605,,49,4,4,8,1
2015,NM,93091,,12,4,2,2,7
2015,NV,16698,,12,1,2,1,4
2015,NV,29211,,12,1,1,2,12
2015,NV,34996,,31,7,8,4,13
2015,NV,60156,,12,2,2,2,0
2015,NV,95865,,15,1,1,1,2
2015,OH,14650,,36,1,1,6,36
2015,OH,16204,,9,1,1,1,9
2015,OH,20126,,10,1,1,1,4
2015,OH,26734,,5,1,1,1,5
2015,OH,28162,,52,1,2,1,0
2015,OH,29276,,14,1,1,1,0
2015,OH,33931,,10,1,1,1,10
2015,OH,41047,,30,3,1,1,12
2015,OH,52664,,10,2,2,2,10
2015,OH,64353,,3,1,1,2,0
2015,OH,66083,,14,1,2,2,0
2015,OH,67129,,5,1,1,1,5
2015,OH,74313,,8,1,1,1,5
2015,OH,77552,,36,2,4,6,0
2015,OH,92036,,10,1,1,1,10
2015,OH,99969,,15,1,1,1,6
2015,OK,29176,,12,1,1,2,12
2015,OK,85408,,14,1,1,1,2
2015,OK,87571,,71,4,4,11,5
2015,OK,98905,,11,1,1,1,11
2015,OR,10091,,33,4,3,3,15
2015,OR,32536,,6,1,1,1,0
2015,OR,39424,,15,9,3,4,15
2015,OR,56707,,6,6,3,3,6
2015,OR,63474,,24,23,5,3,20
2015,OR,71287,,10,1,1,1,2
2015,OR,85804,,9,5,1,1,4
2015,OR,95417,,4,4,1,1,4
