puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,claims_received_total_reported,claims_denied_total_reported,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned,claims_received_in_network,claims_received_out_of_network,claims_denied_in_network,claims_denied_out_of_network,claims_received_total,claims_denied_total,denial_rate_total,denial_rate_in_network,internal_appeal_rate,internal_reversal_rate,external_reversal_rate,claims_resubmitted_in_network,claims_resubmitted_out_of_network
2017,2015,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,192232,12958,128,51,,,,,,,192232.0,12958.0,0.0674081318406925,,0.009878067603025158,0.3984375,,,
2017,2015,True,AL,46944,Blue Cross and Blue Shield of Alabama,5527156,1006909,482,125,58,27,,,,,5527156.0,1006909.0,0.18217488343010402,,0.0004786927120524298,0.25933609958506226,0.46551724137931033,,
2017,2015,True,AR,37903,"QualChoice Life & Health Insurance Company, Inc.",141528,80440,11,,,,,,,,141528.0,80440.0,0.5683680967723701,,0.00013674788662357038,,,,
2017,2015,True,AR,62141,Celtic Insurance Company,1289389,178994,55,19,,,,,,,1289389.0,178994.0,0.1388207903123107,,0.0003072728694816586,0.34545454545454546,,,
2017,2015,True,AR,70525,"QCA Health Plan, Inc.",264711,62924,44,11,10,,,,,,264711.0,62924.0,0.23770829319522044,,0.0006992562456296484,0.25,,,
2017,2015,True,AR,75293,USAble Mutual Insurance Company,4711988,738990,1331,512,15,,,,,,4711988.0,738990.0,0.15683189345983053,,0.0018011069161964302,0.38467317806160783,,,
2017,2015,True,AZ,53901,"Blue Cross and Blue Shield of Arizona, Inc.",1289730,134627,561,150,44,,,,,,1289730.0,134627.0,0.10438386328921558,,0.004167069012902315,0.26737967914438504,,,
2017,2015,True,AZ,91450,"Health Net of Arizona, Inc.",704480,24157,226,183,47,,,,,,704480.0,24157.0,0.03429054054054054,,0.009355466324460819,0.8097345132743363,,,
2017,2015,True,DE,29497,Aetna Life Insurance Company,35609,4577,12,,,,,,,,35609.0,4577.0,0.12853492094695163,,0.0026218046755516716,,,,
2017,2015,True,DE,67190,Aetna Health Inc. (a PA corp.),29001,4057,12,,,,,,,,29001.0,4057.0,0.1398917278714527,,0.0029578506285432584,,,,
2017,2015,True,DE,76168,Highmark BCBSD Inc.,1079088,200823,30,10,,,,,,,1079088.0,200823.0,0.18610437702949156,,0.00014938527957455072,0.3333333333333333,,,
2017,2015,True,FL,16842,Blue Cross and Blue Shield of Florida,10297439,757920,1382,224,83,33,,,,,10297439.0,757920.0,0.07360276666848913,,0.0018234114418408274,0.16208393632416787,0.39759036144578314,,
2017,2015,True,FL,21663,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,
2017,2015,True,FL,30252,"Health Options, Inc.",2750133,234838,250,100,38,11,,,,,2750133.0,234838.0,0.08539150651986649,,0.0010645636566484129,0.4,0.2894736842105263,,
2017,2015,True,FL,35783,"Humana Medical Plan, Inc.",2385243,613317,1153,635,246,44,,,,,2385243.0,613317.0,0.2571297767145737,,0.0018799413680038219,0.5507372072853426,0.17886178861788618,,
2017,2015,True,FL,54172,"Molina Healthcare of Florida, Inc",805433,177575,376,134,,,,,,,805433.0,177575.0,0.22047147310825357,,0.0021174151766859073,0.35638297872340424,,,
2017,2015,True,FL,56503,"Florida Health Care Plan, Inc.",127405,5408,35,16,,,,,,,127405.0,5408.0,0.04244731368470625,,0.0064718934911242604,0.45714285714285713,,,
2017,2015,True,GA,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",2653593,625768,241,121,,,,,,,2653593.0,625768.0,0.23581913277582509,,0.00038512675624192993,0.5020746887966805,,,
2017,2015,True,GA,70893,Ambetter of Peach State Inc.,,,,,,,,,,,,,,,,,,,
2017,2015,True,GA,83761,Alliant Health Plans,306637,86064,,,25,,,,,,306637.0,86064.0,0.2806706300935634,,,,,,
2017,2015,True,GA,89942,Kaiser Foundation Health Plan of Georgia,69967,6825,108,44,,,,,,,69967.0,6825.0,0.09754598596481198,,0.015824175824175824,0.4074074074074074,,,
2017,2015,True,GA,93332,"Humana Employers Health Plan of Georgia, Inc.",595781,163123,1933,978,619,122,,,,,595781.0,163123.0,0.2737969153094845,,0.011849953715907628,0.5059493016037248,0.19709208400646203,,
2017,2015,True,HI,18350,Hawaii Medical Service Association,,,,,,,,,,,,,,,,,,,
2017,2015,True,HI,60612,"Kaiser Foundation Health Plan, Inc.",,,,,,,,,,,,,,,,,,,
2017,2015,True,IA,18973,Aetna Health of Iowa Inc.,953382,150126,247,113,,,,,,,953382.0,150126.0,0.1574667866605411,,0.0016452846275795,0.4574898785425101,,,
2017,2015,True,IA,27651,"Gundersen Health Plan, Inc.",883,2022,,,,,,,,,883.0,2022.0,2.289920724801812,,,,,,
2017,2015,True,IA,93078,Medica Insurance Company,,,,,,,,,,,,,,,,,,,
2017,2015,True,IL,20129,"Health Alliance Medical Plans, Inc.",551708,3996,,,,,,,,,551708.0,3996.0,0.007242961856634307,,,,,,
2017,2015,True,IL,27833,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,
2017,2015,True,IL,36096,Blue Cross Blue Shield of Illinois,5282618,749185,945,103,17,,,,,,5282618.0,749185.0,0.14182077901525342,,0.001261370689482571,0.10899470899470899,,,
2017,2015,True,IL,58288,"Humana Health Plan, Inc.",2517,791,11,,,,,,,,2517.0,791.0,0.31426301152165276,,0.01390644753476612,,,,
2017,2015,True,IN,17575,Anthem Ins Companies Inc(Anthem BCBS),3951756,858990,547,82,,,,,,,3951756.0,858990.0,0.21736918979815556,,0.0006367943747889964,0.14990859232175502,,,
2017,2015,True,IN,54192,"CareSource Indiana, Inc.",203819,65469,730,529,,,,,,,203819.0,65469.0,0.3212114670369298,,0.011150315416456644,0.7246575342465753,,,
2017,2015,True,IN,62033,"MDwise Marketplace, Inc.",6788530,1659811,1774,158,,,,,,,6788530.0,1659811.0,0.24450227074197212,,0.0010687963870585266,0.08906426155580609,,,
2017,2015,True,IN,76179,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,
