puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,plan_id,plan_number_claims_received,plan_number_claims_denied,plan_number_claims_denied_referral_required,plan_number_claims_denied_out_of_network,plan_number_claims_denied_services_excluded,plan_number_claims_denied_not_medically_necessary_excl_behavioral_health,plan_number_claims_denied_not_medically_necessary_incl_behavioral_health,plan_number_claims_denied_other,enrollment_data,disenrollment_data,plan_type,metal_level,plan_number_claims_denied_not_medically_necessary_behavioral_health_only,average_monthly_enrollment,average_monthly_disenrollment,plan_number_claims_received_out_of_network,plan_number_claims_received_in_network,plan_number_claims_denied_in_network,plan_number_claims_resubmitted_out_of_network,plan_number_claims_resubmitted_in_network,plan_number_claims_denied_due_to_out_of_network,plan_number_claims_denied_not_medically_necessary_excluding_behavioral_health,plan_number_claims_denied_due_to_enrolle_benefit_limit_reached,plan_number_claims_denied_due_to_member_not_covered,plan_number_claims_denied_due_to_investigational_experimental_cosmetic_proceduce,plan_number_claims_denied_due_to_administrative_reason,IssuerMarketPlaceMarketingName,MarketCoverage,DentalOnlyPlan,PlanMarketingName,PlanType,MetalLevel,IsNewPlan,NetworkId,ServiceAreaId,NationalNetwork,IsHSAEligible,MEHBDedInnTier1Individual,MEHBInnTier1IndividualMOOP,_merge
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770001,,,,,,,,,,,EPO,Bronze,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,Core Bronze HSA 8300,EPO,Expanded Bronze,New,ORN004,ORS002,Yes,Yes,,,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770002,,,,,,,,,,,EPO,Bronze,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,Core Bronze HSA 7500,EPO,Expanded Bronze,New,ORN004,ORS002,Yes,Yes,,,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770003,,,,,,,,,,,EPO,Bronze,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,PacificSource Oregon Standard Bronze HSA Plan Core,EPO,Expanded Bronze,New,ORN004,ORS002,Yes,Yes,,,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770004,,,,,,,,,,,EPO,Silver,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,Core Silver 4500,EPO,Silver,New,ORN004,ORS002,Yes,No,,,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770005,,,,,,,,,,,EPO,Silver,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,Core Silver 7500,EPO,Silver,New,ORN004,ORS002,Yes,No,,,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770006,,,,,,,,,,,EPO,Silver,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,PacificSource Oregon Standard Silver Plan Core,EPO,Silver,New,ORN004,ORS002,Yes,No,"$6,100 ",,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0770007,,,,,,,,,,,EPO,Gold,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,PacificSource Oregon Standard Gold Plan Core,EPO,Gold,New,ORN004,ORS002,Yes,No,"$1,800 ",,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0780001,,,,,,,,,,,EPO,Gold,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,Core Gold 1500,EPO,Gold,New,ORN004,ORS002,Yes,No,"$1,500 ",,both
2026,2024,True,OR,10091,PacificSource Health Plans,10091OR0780002,,,,,,,,,,,EPO,Gold,,,,,,,,,,,,,,,PacificSource Health Plans,Individual,No,Core Gold 3000,EPO,Gold,New,ORN004,ORS002,Yes,No,"$3,000 ",,both
2026,2024,True,WY,11269,Blue Cross Blue Shield of Wyoming,11269WY0070004,,,1030,556,3963,,,855.0,,,PPO,Bronze,39,245,21,1722,72725,11665,30,9255,,22,995,2393,178,8256,Blue Cross Blue Shield of Wyoming,Individual,No,BlueSelect Bronze Core,PPO,Expanded Bronze,Existing,WYN001,WYS001,Yes,Yes,,,both
