puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,plan_id,plan_number_claims_received,plan_number_claims_denied,plan_number_claims_denied_referral_required,plan_number_claims_denied_out_of_network,plan_number_claims_denied_services_excluded,plan_number_claims_denied_not_medically_necessary_excl_behavioral_health,plan_number_claims_denied_not_medically_necessary_incl_behavioral_health,plan_number_claims_denied_other,enrollment_data,disenrollment_data,plan_type,metal_level,plan_number_claims_denied_not_medically_necessary_behavioral_health_only,average_monthly_enrollment,average_monthly_disenrollment,plan_number_claims_received_out_of_network,plan_number_claims_received_in_network,plan_number_claims_denied_in_network,plan_number_claims_resubmitted_out_of_network,plan_number_claims_resubmitted_in_network,plan_number_claims_denied_due_to_out_of_network,plan_number_claims_denied_not_medically_necessary_excluding_behavioral_health,plan_number_claims_denied_due_to_enrolle_benefit_limit_reached,plan_number_claims_denied_due_to_member_not_covered,plan_number_claims_denied_due_to_investigational_experimental_cosmetic_proceduce,plan_number_claims_denied_due_to_administrative_reason
2020,2018,True,AK,77963,Moda Assurance Company,77963AK0010004,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,77963,Moda Assurance Company,77963AK0010003,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,77963,Moda Assurance Company,77963AK0010002,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,77963,Moda Assurance Company,77963AK0010001,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,38344AK1060001,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,38344AK1060002,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,38344AK1060004,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,38344AK1070002,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,38344AK1070001,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",73301AL0020001,615,138,61,,17,,,60.0,,,,,,,,,,,,,,,,,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",73301AL0020003,8837,1453,171,983,427,,24,899.0,582,60,,,,,,,,,,,,,,,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",73301AL0020004,209,93,,50,,,,91.0,,12,,,,,,,,,,,,,,,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",73301AL0020006,1084,179,16,189,87,,,85.0,93,,,,,,,,,,,,,,,,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",73301AL0020009,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",73301AL0020010,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2018,True,AL,46944,Blue Cross and Blue Shield of Alabama,46944AL0370001,198587,38758,1672,2056,7765,651,33,16248.0,4543,745,,,,,,,,,,,,,,,,
