market_year,state,issuer_count,plan_count,product_count
2015,AK,2,30,10
2015,AL,3,29,10
2015,AR,4,72,17
2015,AZ,13,206,60
2015,DE,3,25,7
2015,FL,14,273,38
2015,GA,9,207,13
2015,IA,3,87,11
2015,IL,10,288,37
2015,IN,9,137,14
2015,KS,5,64,14
2015,LA,6,79,12
2015,ME,3,53,18
2015,MI,16,205,32
2015,MO,7,88,15
2015,MS,3,56,6
2015,MT,4,49,9
2015,NC,3,90,8
2015,ND,3,34,3
2015,NE,3,64,17
2015,NH,5,42,25
2015,NJ,6,59,19
2015,NM,5,88,25
2015,NV,5,82,12
2015,OH,16,267,20
2015,OK,4,108,7
2015,OR,10,140,76
2015,PA,15,270,43
2015,SC,5,126,7
2015,SD,3,41,8
2015,TN,4,135,10
2015,TX,15,405,29
2015,UT,6,108,19
2015,VA,9,96,19
2015,WI,15,419,28
2015,WV,1,15,6
2015,WY,2,43,3
2016,AK,2,17,7
2016,AL,3,24,10
2016,AR,5,44,18
2016,AZ,8,113,21
2016,DE,3,29,9
2016,FL,10,238,50
2016,GA,9,143,13
2016,HI,2,21,3
2016,IA,4,80,12
2016,IL,9,267,20
2016,IN,8,90,16
2016,KS,4,42,7
2016,LA,5,59,9
2016,ME,2,53,6
2016,MI,14,182,30
2016,MO,7,99,12
2016,MS,3,44,6
2016,MT,3,40,9
2016,NC,3,83,9
2016,ND,3,36,4
2016,NE,4,49,9
2016,NH,4,32,15
2016,NJ,6,68,23
2016,NM,4,34,19
2016,NV,4,65,5
2016,OH,16,278,21
2016,OK,2,74,4
2016,OR,9,97,56
2016,PA,13,174,31
2016,SC,4,94,7
2016,SD,2,24,2
2016,TN,4,105,5
2016,TX,19,543,50
2016,UT,4,74,9
2016,VA,11,127,16
2016,WI,16,375,25
2016,WV,2,47,8
2016,WY,1,30,2
2017,AK,1,5,2
2017,AL,1,7,7
2017,AR,4,26,6
2017,AZ,2,32,4
2017,DE,3,20,7
2017,FL,7,183,47
2017,GA,5,138,8
2017,HI,2,23,3
2017,IA,5,90,11
2017,IL,5,217,12
2017,IN,4,55,12
2017,KS,3,23,5
2017,KY,3,32,8
2017,LA,4,40,8
2017,ME,3,50,9
2017,MI,10,163,25
2017,MO,4,47,6
2017,MS,2,36,5
2017,MT,3,63,7
2017,NC,2,40,6
2017,ND,3,31,4
2017,NE,2,31,3
2017,NH,4,34,16
2017,NJ,3,24,5
2017,NM,4,51,14
2017,NV,4,41,5
2017,OH,11,318,20
2017,OK,1,75,3
2017,OR,6,66,20
2017,PA,8,81,18
2017,SC,1,26,3
2017,SD,2,22,2
2017,TN,3,53,3
2017,TX,10,458,26
2017,UT,3,28,6
2017,VA,11,134,14
2017,WI,15,316,25
2017,WV,2,17,6
2017,WY,1,30,2
2018,AK,1,5,1
2018,AL,2,13,8
2018,AR,4,27,6
2018,AZ,2,44,2
2018,DE,1,7,3
2018,FL,6,170,51
2018,GA,4,78,6
2018,HI,2,22,3
2018,IA,1,18,3
2018,IL,4,168,11
2018,IN,2,33,7
2018,KS,3,23,4
2018,KY,2,24,5
2018,LA,3,40,7
2018,ME,2,18,8
2018,MI,8,90,16
2018,MO,3,31,3
2018,MS,1,5,2
2018,MT,3,44,5
2018,NC,2,33,6
2018,ND,2,15,2
2018,NE,1,12,2
2018,NH,3,15,3
2018,NJ,4,23,10
2018,NM,4,45,10
2018,NV,2,14,2
2018,OH,8,145,22
2018,OK,1,35,2
2018,OR,5,43,14
2018,PA,9,111,20
2018,SC,1,24,2
2018,SD,2,25,2
2018,TN,3,44,10
2018,TX,8,253,23
2018,UT,2,32,4
