market_year,state,rating_area_id,lowest_silver_age40_premium,silver_issuer_count,silver_plan_count
2015,AK,Rating Area 1,488.0,2,11
2015,AK,Rating Area 2,488.0,2,11
2015,AK,Rating Area 3,488.0,2,11
2015,AL,Rating Area 1,257.48,2,6
2015,AL,Rating Area 10,241.98,2,6
2015,AL,Rating Area 11,254.54,2,6
2015,AL,Rating Area 12,243.22,2,6
2015,AL,Rating Area 13,254.4,2,6
2015,AL,Rating Area 2,268.38,2,6
2015,AL,Rating Area 3,262.13,3,7
2015,AL,Rating Area 4,268.38,2,6
2015,AL,Rating Area 5,262.79,2,6
2015,AL,Rating Area 6,252.14,2,6
2015,AL,Rating Area 7,243.22,2,6
2015,AL,Rating Area 8,255.33,2,6
2015,AL,Rating Area 9,254.81,3,7
2015,AR,Rating Area 1,293.8,4,12
2015,AR,Rating Area 2,273.1,4,12
2015,AR,Rating Area 3,276.5,4,12
2015,AR,Rating Area 4,271.68,4,12
2015,AR,Rating Area 5,271.72,4,12
2015,AR,Rating Area 6,290.77,4,12
2015,AR,Rating Area 7,262.6,4,12
2015,AZ,Rating Area 1,206.29,10,42
2015,AZ,Rating Area 2,214.73,8,37
2015,AZ,Rating Area 3,214.73,8,37
2015,AZ,Rating Area 4,165.73,13,49
2015,AZ,Rating Area 5,214.73,10,41
2015,AZ,Rating Area 6,169.76,12,44
2015,AZ,Rating Area 7,214.73,8,37
2015,DE,Rating Area 1,297.21,3,7
2015,FL,Rating Area 1,299.36,5,12
2015,FL,Rating Area 10,289.04,5,15
2015,FL,Rating Area 11,302.71,5,15
2015,FL,Rating Area 12,296.06,4,10
2015,FL,Rating Area 13,314.17,4,10
2015,FL,Rating Area 14,326.78,4,10
2015,FL,Rating Area 15,270.64,6,17
2015,FL,Rating Area 16,275.45,5,15
2015,FL,Rating Area 17,302.0,7,25
2015,FL,Rating Area 18,333.97,3,7
2015,FL,Rating Area 19,313.93,3,7
2015,FL,Rating Area 2,298.61,5,15
2015,FL,Rating Area 20,325.7,4,10
2015,FL,Rating Area 21,330.26,3,7
2015,FL,Rating Area 22,256.25,3,10
2015,FL,Rating Area 23,332.94,3,7
2015,FL,Rating Area 24,342.06,3,7
2015,FL,Rating Area 25,322.8,4,10
2015,FL,Rating Area 26,273.67,6,20
2015,FL,Rating Area 27,301.0,4,12
2015,FL,Rating Area 28,275.38,7,21
2015,FL,Rating Area 29,326.45,3,7
2015,FL,Rating Area 3,263.76,4,13
2015,FL,Rating Area 30,234.83,6,38
2015,FL,Rating Area 31,325.16,3,7
2015,FL,Rating Area 32,289.82,3,7
2015,FL,Rating Area 33,332.94,3,7
