claims_year,outcome_observations,market_matches,premium_matches,denial_rate_observations,market_match_share,premium_match_share
2015,150,128,128,127,0.8533333333333334,0.8533333333333334
2016,123,110,110,110,0.8943089430894309,0.8943089430894309
2017,135,126,126,123,0.9333333333333333,0.9333333333333333
2018,175,127,127,127,0.7257142857142858,0.7257142857142858
2019,181,133,133,133,0.7348066298342542,0.7348066298342542
2020,213,146,146,145,0.6854460093896714,0.6854460093896714
2021,230,163,163,163,0.7086956521739131,0.7086956521739131
2022,209,174,174,174,0.8325358851674641,0.8325358851674641
2023,206,177,177,177,0.8592233009708737,0.8592233009708737
2024,185,159,159,159,0.8594594594594595,0.8594594594594595
