claims_year,variable,issuer_state_observations,nonmissing,missing_share
2015,denial_rate_total,150,127,0.15333333333333332
2015,denial_rate_in_network,150,0,1.0
2015,internal_appeal_rate,150,110,0.26666666666666666
2015,internal_reversal_rate,150,95,0.36666666666666664
2015,external_reversal_rate,150,10,0.9333333333333333
2016,denial_rate_total,123,110,0.10569105691056911
2016,denial_rate_in_network,123,0,1.0
2016,internal_appeal_rate,123,101,0.17886178861788618
2016,internal_reversal_rate,123,90,0.2682926829268293
2016,external_reversal_rate,123,11,0.9105691056910569
2017,denial_rate_total,135,123,0.08888888888888889
2017,denial_rate_in_network,135,0,1.0
2017,internal_appeal_rate,135,118,0.1259259259259259
2017,internal_reversal_rate,135,116,0.14074074074074075
2017,external_reversal_rate,135,18,0.8666666666666667
2018,denial_rate_total,175,127,0.2742857142857143
2018,denial_rate_in_network,175,0,1.0
2018,internal_appeal_rate,175,122,0.3028571428571429
2018,internal_reversal_rate,175,37,0.7885714285714286
2018,external_reversal_rate,175,6,0.9657142857142857
2019,denial_rate_total,181,135,0.2541436464088398
2019,denial_rate_in_network,181,0,1.0
2019,internal_appeal_rate,181,129,0.287292817679558
2019,internal_reversal_rate,181,122,0.3259668508287293
2019,external_reversal_rate,181,49,0.7292817679558011
2020,denial_rate_total,213,147,0.30985915492957744
2020,denial_rate_in_network,213,0,1.0
2020,internal_appeal_rate,213,133,0.3755868544600939
2020,internal_reversal_rate,213,125,0.4131455399061033
2020,external_reversal_rate,213,72,0.6619718309859155
2021,denial_rate_total,230,163,0.29130434782608694
2021,denial_rate_in_network,230,0,1.0
2021,internal_appeal_rate,230,145,0.3695652173913043
2021,internal_reversal_rate,230,134,0.41739130434782606
2021,external_reversal_rate,230,82,0.6434782608695652
2022,denial_rate_total,209,174,0.1674641148325359
2022,denial_rate_in_network,209,174,0.1674641148325359
2022,internal_appeal_rate,209,162,0.22488038277511962
2022,internal_reversal_rate,209,148,0.291866028708134
2022,external_reversal_rate,209,23,0.8899521531100478
2023,denial_rate_total,206,177,0.1407766990291262
2023,denial_rate_in_network,206,177,0.1407766990291262
2023,internal_appeal_rate,206,169,0.1796116504854369
2023,internal_reversal_rate,206,161,0.21844660194174756
2023,external_reversal_rate,206,77,0.6262135922330098
2024,denial_rate_total,185,159,0.14054054054054055
2024,denial_rate_in_network,185,158,0.14594594594594595
2024,internal_appeal_rate,185,148,0.2
2024,internal_reversal_rate,185,135,0.2702702702702703
2024,external_reversal_rate,185,83,0.5513513513513514
