claims_year,issuer_state_observations,states,valid_denial_observations,reported_claims,weighted_denial_rate,median_issuer_denial_rate,p25_issuer_denial_rate,p75_issuer_denial_rate,weighted_internal_appeal_rate,weighted_internal_reversal_rate,market_link_share,premium_link_share
2015,150,38,126,170686394.0,0.19077841670262247,0.18136613267255824,0.12682364868359752,0.2514119094884606,0.0011192127704352812,0.36443590506860063,0.8533333333333334,0.8533333333333334
2016,123,39,110,175089282.0,0.17203210645412323,0.15628080425641488,0.1040723792328643,0.235441039427206,0.0018910752304055123,0.29458896426472947,0.8943089430894309,0.8943089430894309
2017,135,39,123,230915596.0,0.17213588293100826,0.155999780629593,0.09398894488321985,0.20745108366558057,0.004937693326926953,0.13826234367386714,0.9333333333333333,0.9333333333333333
2018,175,38,127,257487783.0,0.14095826829966532,0.1450702828414481,0.075656660023143,0.1939641816447688,0.0027813262580393995,0.3505789919634375,0.7257142857142858,0.7257142857142858
2019,181,36,133,234253266.0,0.16407090776698072,0.1598953949355213,0.096163750562486,0.2217141693999435,0.0016606596390820888,0.40526895250078643,0.7348066298342542,0.7348066298342542
2020,213,33,145,230878009.0,0.1832550583022396,0.182346131217855,0.1120474463859483,0.2795580110497238,0.0014457319139316368,0.3740808976082591,0.6854460093896714,0.6854460093896714
2021,230,33,163,291594207.0,0.16564800959848971,0.1585291425083918,0.09455767851379805,0.2229451840913323,0.001881856414930905,0.41319969742813917,0.7086956521739131,0.7086956521739131
2022,209,32,174,386151728.0,0.1777332743154266,0.184342935869388,0.14298400751777698,0.2358574158876506,0.0016187950570371447,0.4308815763116202,0.8325358851674641,0.8325358851674641
2023,206,31,177,471049416.0,0.2092358437400122,0.2057617928861162,0.1515354086387838,0.2669844352252332,0.003828705777188844,0.4383235505908174,0.8592233009708737,0.8592233009708737
2024,185,30,159,495646850.0,0.20372247296638726,0.2103603357313704,0.1671967747797497,0.27360700968036133,0.0026410275166568508,0.336006547285735,0.8594594594594595,0.8594594594594595
