state,first_claims_year,last_claims_year,years_observed,issuer_years,valid_denial_observations,market_link_share,premium_link_share
AK,2015,2024,10,17,13,0.7647058823529411,0.7647058823529411
AL,2015,2024,10,25,19,0.76,0.76
AR,2015,2024,10,50,45,0.9,0.9
AZ,2015,2024,10,57,44,0.7719298245614035,0.7719298245614035
DE,2015,2024,10,22,16,0.7272727272727273,0.7272727272727273
FL,2015,2024,10,112,86,0.75,0.75
GA,2015,2022,8,57,39,0.7192982456140351,0.7192982456140351
HI,2015,2024,10,20,15,0.9,0.9
IA,2015,2024,10,32,20,0.65625,0.65625
IL,2015,2023,9,70,50,0.7142857142857143,0.7142857142857143
IN,2015,2024,10,39,28,0.6666666666666666,0.6666666666666666
KS,2015,2024,10,52,35,0.6730769230769231,0.6730769230769231
KY,2016,2019,4,8,8,0.75,0.75
LA,2015,2024,10,46,37,0.8043478260869565,0.8043478260869565
ME,2015,2019,5,14,14,0.8571428571428571,0.8571428571428571
MI,2015,2024,10,90,82,0.9111111111111111,0.9111111111111111
MO,2015,2024,10,69,55,0.7971014492753623,0.7971014492753623
MS,2015,2024,10,32,22,0.6875,0.6875
MT,2015,2024,10,30,30,1.0,1.0
NC,2015,2024,10,61,42,0.6885245901639344,0.6885245901639344
ND,2015,2024,10,28,27,0.9642857142857143,0.9642857142857143
NE,2015,2024,10,30,18,0.6,0.6
NH,2015,2024,10,33,30,0.9090909090909091,0.9090909090909091
NJ,2015,2018,4,14,13,0.9285714285714286,0.9285714285714286
NM,2015,2019,5,21,17,0.7619047619047619,0.7619047619047619
NV,2015,2017,3,7,5,0.7142857142857143,0.7142857142857143
OH,2015,2024,10,105,95,0.8952380952380953,0.8952380952380953
OK,2015,2024,10,48,32,0.6666666666666666,0.6666666666666666
OR,2015,2024,10,57,50,0.9649122807017544,0.9649122807017544
PA,2015,2018,4,36,29,0.8055555555555556,0.8055555555555556
SC,2015,2024,10,38,25,0.6578947368421053,0.6578947368421053
SD,2015,2024,10,24,22,0.9166666666666666,0.9166666666666666
TN,2015,2024,10,50,40,0.82,0.82
TX,2015,2024,10,129,97,0.751937984496124,0.751937984496124
UT,2015,2024,10,53,39,0.7547169811320755,0.7547169811320755
VA,2015,2021,7,65,49,0.7846153846153846,0.7846153846153846
WI,2015,2024,10,129,117,0.9147286821705426,0.9147286821705426
WV,2015,2024,10,20,19,0.95,0.95
WY,2015,2024,10,17,13,0.7647058823529411,0.7647058823529411
